Sr.NO,Name ,Inwards Qty,Outwards Qty,Net Movement,Stock Turnover Rate
221,HS-45-AS-2(AL.PR.TRACKHS-45/HS/45DT) FOR TOP 2-8',0.0,2.0,-2.0,1999999999.9999998
222,HS50R-25-T2-AB (REVERSIBLE SOFT CLOSE TRACK) 8 FUT,4.0,3.0,1.0,0.7499999998125
223,HS50R-2 (REVERSIBLE SC-2.44 METERS-2 DOOR) TRACK,14.0,15.0,-1.0,1.0714285713520408
224,EBCO-HS-50-PDT-2-SLIDING W. FITTING--SOFT CLOSE,0.0,1.0,-1.0,999999999.9999999
225,EBCO-HS50PRT-2-SLIDING FITTING,4.0,0.0,4.0,0.0
226,HS-45(ZW) HISLIDE 45 WHEEL,0.0,2.0,-2.0,1999999999.9999998
227,HS50R-2 (REVERSIBLE SOFT CLOSE -2 DOOR) WHEEL,21.0,21.0,0.0,0.999999999952381
228,SOCKET CURTAIN,40.0,84.0,-44.0,2.0999999999475003
229,KOXI-OVAL SOCKET-CONC.-5/8-CP,0.0,16.0,-16.0,15999999999.999998
230,"SHANTI / PARSHV-PIPE C.SOCKET CONCILD-1""-HY",40.0,45.0,-5.0,1.1249999999718752
231,VIESS-C.SOCKET-KP-32-MET.,0.0,2.0,-2.0,1999999999.9999998
232,VIESS-C.SOCKET-SS BALL-B,0.0,8.0,-8.0,7999999999.999999
233,VIESS-C.SOCKET-SS BALL-E,0.0,2.0,-2.0,1999999999.9999998
234,SOFA LEG,54.0,71.0,-17.0,1.3148148147904666
235,DANIS - SOFA LEG-32-65MM-SS MATT 4'',20.0,23.0,-3.0,1.1499999999425
236,"DANIS-SOFA LEG-F-01-45MM-ROUND-MATT-4""",0.0,4.0,-4.0,3999999999.9999995
237,"DANIS-SOFA LEG-F-27-50MM-SQ.MATT-6""",0.0,3.0,-3.0,3000000000.0
238,STAND,0.0,3.0,-3.0,3000000000.0
239,SUPPORT,0.0,4.0,-4.0,3999999999.9999995
240,"SHANTI-TABLE CORNER-3""-SS",0.0,2.0,-2.0,1999999999.9999998
241,"VIESS-C.SOCKET-SUPPORT-SINGLE-4""X16-CP",0.0,2.0,-2.0,1999999999.9999998
242,TADI,36.0,46.0,-10.0,1.277777777742284
243,TADI-SOCKET-SS-CLIP,0.0,10.0,-10.0,10000000000.0
244,TAPE,409.0,3068.0,-2659.0,7.50122249386919
245,Abro Masking Tape 40 Mtr  - 1023,0.0,10.0,-10.0,10000000000.0
246,AIPL GOLD SELF MASKING TAPE,20.0,66.0,-46.0,3.299999999835
247,AP SUPREME MASKING TAPE 40M,288.0,233.0,55.0,0.8090277777749687
248,COLORS-ABROTAPE-40 MTR.,0.0,4.0,-4.0,3999999999.9999995
249,MASKING TAPE STICKPACK 40 MTR.,0.0,392.0,-392.0,392000000000.0
250,Stick Pack Abro Tape,0.0,22.0,-22.0,22000000000.0
251,"ASANJO-ZINC-T.CHANNEL-12""",0.0,1.0,-1.0,999999999.9999999
252,"ASANJO-ZINC-T.CHANNEL 8""",0.0,2.0,-2.0,1999999999.9999998
253,"EBCO-T.CHANNEL-12""",0.0,1.0,-1.0,999999999.9999999
